# CaseFolding-5.2.0.txt
# Date: 2009-05-28, 23:02:34 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# ================================================================================
# This file has been reformatted into syntax for the gennorm2 Normalizer2 data
# generator tool.
# C and F mappings are marked as one-way mappings with '>' while
# S and T mappings are commented out.
# ================================================================================
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to the full mapping below, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# The data supports both implementations that require simple case foldings
# (where string lengths don't change), and implementations that allow full case folding
# (where string lengths may grow). Note that where they can be supported, the
# full case foldings are superior: for example, they allow "MASSE" and "Maße" to match.
#
# All code points not listed in this file map to themselves.
#
# NOTE: case folding does not preserve normalization formats!
#
# For information on case folding, including how to have case folding 
# preserve normalization formats, see Section 3.13 Default Case Algorithms in
# The Unicode Standard, Version 5.0.
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status field is:
# C: common case folding, common mappings shared by both simple and full mappings.
# F: full case folding, mappings that cause strings to grow in length. Multiple characters are separated by spaces.
# S: simple case folding, mappings to single characters where different from F.
# T: special case for uppercase I and dotted uppercase I
#    - For non-Turkic languages, this mapping is normally not used.
#    - For Turkic languages (tr, az), this mapping can be used instead of the normal mapping for these characters.
#      Note that the Turkic mappings do not maintain canonical equivalence without additional processing.
#      See the discussions of case mapping in the Unicode Standard for more information.
#
# Usage:
#  A. To do a simple case folding, use the mappings with status C + S.
#  B. To do a full case folding, use the mappings with status C + F.
#
#    The mappings with status T can be used or omitted depending on the desired case-folding
#    behavior. (The default option is to exclude them.)
#
# =================================================================
010C>010D; # LATIN CAPITAL LETTER C WITH CARON
010E>010F; # LATIN CAPITAL LETTER D WITH CARON
0110>0111; # LATIN CAPITAL LETTER D WITH STROKE
0112>0113; # LATIN CAPITAL LETTER E WITH MACRON
0114>0115; # LATIN CAPITAL LETTER E WITH BREVE
0116>0117; # LATIN CAPITAL LETTER E WITH DOT ABOVE
0118>0119; # LATIN CAPITAL LETTER E WITH OGONEK
011A>011B; # LATIN CAPITAL LETTER E WITH CARON
011C>011D; # LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011E>011F; # LATIN CAPITAL LETTER G WITH BREVE
0120>0121; # LATIN CAPITAL LETTER G WITH DOT ABOVE
0122>0123; # LATIN CAPITAL LETTER G WITH CEDILLA
0124>0125; # LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0126>0127; # LATIN CAPITAL LETTER H WITH STROKE
0128>0129; # LATIN CAPITAL LETTER I WITH TILDE
012A>012B; # LATIN CAPITAL LETTER I WITH MACRON
012C>012D; # LATIN CAPITAL LETTER I WITH BREVE
012E>012F; # LATIN CAPITAL LETTER I WITH OGONEK
0130>0069 0307; # LATIN CAPITAL LETTER I WITH DOT ABOVE
# 0130; T; 0069; # LATIN CAPITAL LETTER I WITH DOT ABOVE
0132>0133; # LATIN CAPITAL LIGATURE IJ
0134>0135; # LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0136>0137; # LATIN CAPITAL LETTER K WITH CEDILLA
0139>013A; # LATIN CAPITAL LETTER L WITH ACUTE
013B>013C; # LATIN CAPITAL LETTER L WITH CEDILLA
013D>013E; # LATIN CAPITAL LETTER L WITH CARON
013F>0140; # LATIN CAPITAL LETTER L WITH MIDDLE DOT
0141>0142; # LATIN CAPITAL LETTER L WITH STROKE
0143>0144; # LATIN CAPITAL LETTER N WITH ACUTE
0145>0146; # LATIN CAPITAL LETTER N WITH CEDILLA
