# GraphemeBreakProperty-6.1.0.txt
# Date: 2011-09-16, 21:06:23 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2011 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Grapheme_Cluster_Break

#  All code points not explicitly listed for Grapheme_Cluster_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

10A3B..10A3E  ; Control
10A48..10A4F  ; Control
10A59..10A5F  ; Control
10A80..10AFF  ; Control
10B36..10B38  ; Control
10B56..10B57  ; Control
10B73..10B77  ; Control
10B80..10BFF  ; Control
10C49..10E5F  ; Control
10E7F..10FFF  ; Control
1104E..11051  ; Control
11070..1107F  ; Control
110BD         ; Control
110C2..110CF  ; Control
110E9..110EF  ; Control
110FA..110FF  ; Control
11135         ; Control
11144..1117F  ; Control
111C9..111CF  ; Control
111DA..1167F  ; Control
116B8..116BF  ; Control
116CA..11FFF  ; Control
1236F..123FF  ; Control
12463..1246F  ; Control
12474..12FFF  ; Control
1342F..167FF  ; Control
16A39..16EFF  ; Control
16F45..16F4F  ; Control
16F7F..16F8E  ; Control
16FA0..1AFFF  ; Control
1B002..1CFFF  ; Control
1D0F6..1D0FF  ; Control
1D127..1D128  ; Control
1D173..1D17A  ; Control
1D1DE..1D1FF  ; Control
1D246..1D2FF  ; Control
1D357..1D35F  ; Control
1D372..1D3FF  ; Control
1D455         ; Control
1D49D         ; Control
1D4A0..1D4A1  ; Control
1D4A3..1D4A4  ; Control
1D4A7..1D4A8  ; Control
1D4AD         ; Control
1D4BA         ; Control
1D4BC         ; Control
1D4C4         ; Control
1D506         ; Control
1D50B..1D50C  ; Control
1D515         ; Control
1D51D         ; Control
1D53A         ; Control
1D53F         ; Control
1D545         ; Control
1D547..1D549  ; Control
1D551         ; Control
1D6A6..1D6A7  ; Control
1D7CC..1D7CD  ; Control
1D800..1EDFF  ; Control
1EE04         ; Control
1EE20         ; Control
1EE23         ; Control
1EE25..1EE26  ; Control
1EE28         ; Control
1EE33         ; Control
1EE38         ; Control
1EE3A         ; Control
1EE3C..1EE41  ; Control
1EE43..1EE46  ; Control
1EE48         ; Control
1EE4A         ; Control
1EE4C         ; Control
1EE50         ; Control
1EE53         ; Control
1EE55..1EE56  ; Control
1EE58         ; Control
1EE5A         ; Control
1EE5C         ; Control
1EE5E         ; Control
1EE60         ; Control
1EE63         ; Control
1EE65..1EE66  ; Control
1EE6B         ; Control
1EE73         ; Control
1EE78         ; Control
1EE7D         ; Control
1EE7F         ; Control
1EE8A         ; Control
1EE9C..1EEA0  ; Control
1EEA4         ; Control
1EEAA         ; Control
1EEBC..1EEEF  ; Control
1EEF2..1EFFF  ; Control
1F02C..1F02F  ; Control
1F094..1F09F  ; Control
1F0AF..1F0B0  ; Control
1F0BF..1F0C0  ; Control
1F0D0         ; Control
1F0E0..1F0FF  ; Control
1F10B..1F10F  ; Control
1F12F         ; Control
1F16C..1F16F  ; Control
1F19B..1F1E5  ; Control
1F203..1F20F  ; Control
1F23B..1F23F  ; Control
1F249..1F24F  ; Control
1F252..1F2FF  ; Control
1F321..1F32F  ; Control
1F336         ; Control
1F37D..1F37F  ; Control
1F394..1F39F  ; Control
1F3C5         ; Control
1F3CB..1F3DF  ; Control
1F3F1..1F3FF  ; Control
1F43F         ; Control
1F441         ; Control
1F4F8         ; Control
1F4FD..1F4FF  ; Control
1F53E..1F53F  ; Control
1F544..1F54F  ; Control
1F568..1F5FA  ; Control
1F641..1F644  ; Control
1F650..1F67F  ; Control
1F6C6..1F6FF  ; Control
1F774..1FFFF  ; Control
2A6D7..2A6FF  ; Control
2B735..2B73F  ; Control
2B81E..2F7FF  ; Control
2FA1E..E0000  ; Control
E0001         ; Control
E0002..E001F  ; Control
E0020..E007F  ; Control
E0080..E00FF  ; Control
E01F0..EFFFF  ; Control
FFFFE..FFFFF  ; Control
10FFFE..10FFFF; Control

# Total code points: 866665

# ================================================

0300..036F    ; Extend
0483..0487    ; Extend
0488..0489    ; Extend
0591..05BD    ; Extend
05BF          ; Extend
05C1..05C2    ; Extend
05C4..05C5    ; Extend
05C7          ; Extend
0610..061A    ; Extend
064B..065F    ; Extend
0670          ; Extend
06D6..06DC    ; Extend
06DF..06E4    ; Extend
06E7..06E8    ; Extend
06EA..06ED    ; Extend
0711          ; Extend
0730..074A    ; Extend
07A6..07B0    ; Extend
07EB..07F3    ; Extend
0816..0819    ; Extend
081B..0823    ; Extend
0825..0827    ; Extend
0829..082D    ; Extend
0859..085B    ; Extend
08E4..08FE    ; Extend
0900..0902    ; Extend
093A          ; Extend
093C          ; Extend
0941..0948    ; Extend
094D          ; Extend
0951..0957    ; Extend
0962..0963    ; Extend
0981          ; Extend
09BC          ; Extend
09BE          ; Extend
09C1..09C4    ; Extend
09CD          ; Extend
09D7          ; Extend
09E2..09E3    ; Extend
0A01..0A02    ; Extend
0A3C          ; Extend
0A41..0A42    ; Extend
0A47..0A48    ; Extend
0A4B..0A4D    ; Extend
0A51          ; Extend
0A70..0A71    ; Extend
0A75          ; Extend
0A81..0A82    ; Extend
0ABC          ; Extend
0AC1..0AC5    ; Extend
0AC7..0AC8    ; Extend
0ACD          ; Extend
0AE2..0AE3    ; Extend
0B01          ; Extend
0B3C          ; Extend
0B3E          ; Extend
0B3F          ; Extend
0B41..0B44    ; Extend
0B4D          ; Extend
0B56          ; Extend
0B57          ; Extend
0B62..0B63    ; Extend
0B82          ; Extend
0BBE          ; Extend
0BC0          ; Extend
0BCD          ; Extend
0BD7          ; Extend
0C3E..0C40    ; Extend
0C46..0C48    ; Extend
0C4A..0C4D    ; Extend
0C55..0C56    ; Extend
0C62..0C63    ; Extend
0CBC          ; Extend
0CBF          ; Extend
0CC2          ; Extend
0CC6          ; Extend
0CCC..0CCD    ; Extend
0CD5..0CD6    ; Extend
0CE2..0CE3    ; Extend
0D3E          ; Extend
0D41..0D44    ; Extend
0D4D          ; Extend
0D57          ; Extend
0D62..0D63    ; Extend
0DCA          ; Extend
0DCF          ; Extend
0DD2..0DD4    ; Extend
0DD6          ; Extend
0DDF          ; Extend
0E31          ; Extend
0E34..0E3A    ; Extend
0E47..0E4E    ; Extend
0EB1          ; Extend
0EB4..0EB9    ; Extend
0EBB..0EBC    ; Extend
0EC8..0ECD    ; Extend
0F18..0F19    ; Extend
0F35          ; Extend
0F37          ; Extend
0F39          ; Extend
0F71..0F7E    ; Extend
0F80..0F84    ; Extend
0F86..0F87    ; Extend
0F8D..0F97    ; Extend
0F99..0FBC    ; Extend
0FC6          ; Extend
102D..1030    ; Extend
1032..1037    ; Extend
1039..103A    ; Extend
103D..103E    ; Extend
1058..1059    ; Extend
105E..1060    ; Extend
1071..1074    ; Extend
1082          ; Extend
1085..1086    ; Extend
108D          ; Extend
109D          ; Extend
135D..135F    ; Extend
1712..1714    ; Extend
1732..1734    ; Extend
1752..1753    ; Extend
1772..1773    ; Extend
17B4..17B5    ; Extend
17B7..17BD    ; Extend
17C6          ; Extend
17C9..17D3    ; Extend
17DD          ; Extend
180B..180D    ; Extend
18A9          ; Extend
1920..1922    ; Extend
1927..1928    ; Extend
1932          ; Extend
1939..193B    ; Extend
1A17..1A18    ; Extend
1A56          ; Extend
1A58..1A5E    ; Extend
1A60          ; Extend
1A62          ; Extend
1A65..1A6C    ; Extend
1A73..1A7C    ; Extend
1A7F          ; Extend
1B00..1B03    ; Extend
1B34          ; Extend
1B36..1B3A    ; Extend
1B3C          ; Extend
1B42          ; Extend
1B6B..1B73    ; Extend
1B80..1B81    ; Extend
1BA2..1BA5    ; Extend
1BA8..1BA9    ; Extend
1BAB          ; Extend
1BE6          ; Extend
1BE8..1BE9    ; Extend
1BED          ; Extend
1BEF..1BF1    ; Extend
1C2C..1C33    ; Extend
1C36..1C37    ; Extend
1CD0..1CD2    ; Extend
1CD4..1CE0    ; Extend
1CE2..1CE8    ; Extend
1CED          ; Extend
1CF4          ; Extend
1DC0..1DE6    ; Extend
1DFC..1DFF    ; Extend
200C..200D    ; Extend
20D0..20DC    ; Extend
20DD..20E0    ; Extend
20E1          ; Extend
20E2..20E4    ; Extend
20E5..20F0    ; Extend
2CEF..2CF1    ; Extend
2D7F          ; Extend
2DE0..2DFF    ; Extend
302A..302F    ; Extend
3099..309A    ; Extend
A66F          ; Extend
A670..A672    ; Extend
A674..A67D    ; Extend
A69F          ; Extend
A6F0..A6F1    ; Extend
A802          ; Extend
A806          ; Extend
A80B          ; Extend
A825..A826    ; Extend
A8C4          ; Extend
A8E0..A8F1    ; Extend
A926..A92D    ; Extend
A947..A951    ; Extend
A980..A982    ; Extend
A9B3          ; Extend
A9B6..A9B9    ; Extend
A9BC          ; Extend
AA29..AA2E    ; Extend
AA31..AA32    ; Extend
AA35..AA36    ; Extend
AA43          ; Extend
AA4C          ; Extend
AAB0          ; Extend
AAB2..AAB4    ; Extend
AAB7..AAB8    ; Extend
AABE..AABF    ; Extend
AAC1          ; Extend
AAEC..AAED    ; Extend
AAF6          ; Extend
ABE5          ; Extend
ABE8          ; Extend
ABED          ; Extend
FB1E          ; Extend
FE00..FE0F    ; Extend
FE20..FE26    ; Extend
FF9E..FF9F    ; Extend
101FD         ; Extend
10A01..10A03  ; Extend
10A05..10A06  ; Extend
10A0C..10A0F  ; Extend
10A38..10A3A  ; Extend
10A3F         ; Extend
11001         ; Extend
11038..11046  ; Extend
11080..11081  ; Extend
110B3..110B6  ; Extend
110B9..110BA  ; Extend
11100..11102  ; Extend
11127..1112B  ; Extend
1112D..11134  ; Extend
11180..11181  ; Extend
111B6..111BE  ; Extend
116AB         ; Extend
116AD         ; Extend
116B0..116B5  ; Extend
116B7         ; Extend
16F8F..16F92  ; Extend
1D165         ; Extend
1D167..1D169  ; Extend
1D16E..1D172  ; Extend
1D17B..1D182  ; Extend
1D185..1D18B  ; Extend
1D1AA..1D1AD  ; Extend
1D242..1D244  ; Extend
E0100..E01EF  ; Extend

# Total code points: 1317

# ================================================

0E40..0E44    ; Prepend
0EC0..0EC4    ; Prepend
AAB5..AAB6    ; Prepend
AAB9          ; Prepend
AABB..AABC    ; Prepend

# Total code points: 15

# ================================================

0903          ; SpacingMark
093B          ; SpacingMark
093E..0940    ; SpacingMark
0949..094C    ; SpacingMark
094E..094F    ; SpacingMark
0982..0983    ; SpacingMark
09BF..09C0    ; SpacingMark
09C7..09C8    ; SpacingMark
09CB..09CC    ; SpacingMark
0A03          ; SpacingMark
0A3E..0A40    ; SpacingMark
0A83          ; SpacingMark
0ABE..0AC0    ; SpacingMark
0AC9          ; SpacingMark
0ACB..0ACC    ; SpacingMark
0B02..0B03    ; SpacingMark
0B40          ; SpacingMark
0B47..0B48    ; SpacingMark
0B4B..0B4C    ; SpacingMark
0BBF          ; SpacingMark
0BC1..0BC2    ; SpacingMark
0BC6..0BC8    ; SpacingMark
0BCA..0BCC    ; SpacingMark
0C01..0C03    ; SpacingMark
0C41..0C44    ; SpacingMark
0C82..0C83    ; SpacingMark
0CBE          ; SpacingMark
0CC0..0CC1    ; SpacingMark
0CC3..0CC4    ; SpacingMark
0CC7..0CC8    ; SpacingMark
0CCA..0CCB    ; SpacingMark
0D02..0D03    ; SpacingMark
0D3F..0D40    ; SpacingMark
0D46..0D48    ; SpacingMark
0D4A..0D4C    ; SpacingMark
0D82..0D83    ; SpacingMark
0DD0..0DD1    ; SpacingMark
0DD8..0DDE    ; SpacingMark
0DF2..0DF3    ; SpacingMark
0E30          ; SpacingMark
0E32..0E33    ; SpacingMark
0E45          ; SpacingMark
0EB0          ; SpacingMark
0EB2..0EB3    ; SpacingMark
0F3E..0F3F    ; SpacingMark
0F7F          ; SpacingMark
102B..102C    ; SpacingMark
1031          ; SpacingMark
1038          ; SpacingMark
103B..103C    ; SpacingMark
1056..1057    ; SpacingMark
1062..1064    ; SpacingMark
1067..106D    ; SpacingMark
1083..1084    ; SpacingMark
1087..108C    ; SpacingMark
108F          ; SpacingMark
109A..109C    ; SpacingMark
17B6          ; SpacingMark
17BE..17C5    ; SpacingMark
17C7..17C8    ; SpacingMark
1923..1926    ; SpacingMark
1929..192B    ; SpacingMark
1930..1931    ; SpacingMark
1933..1938    ; SpacingMark
19B0..19C0    ; SpacingMark
19C8..19C9    ; SpacingMark
1A19..1A1B    ; SpacingMark
1A55          ; SpacingMark
1A57          ; SpacingMark
1A61          ; SpacingMark
1A63..1A64    ; SpacingMark
1A6D..1A72    ; SpacingMark
1B04          ; SpacingMark
